SPECIES,POP,CONVERGED,DIET3,DIET,CLASS,G,LOG_G,G118
Eucometis penicilota,PANAMA,YES,MIXED,MIXED,MIXED PANAMA,-117,0.477121255,1
Ramphocaenus mel,PANAMA,YES,ARTH,MIXED,MIXED PANAMA,-105,1.176091259,13
Microrhopias quixensis,PANAMA,YES,ARTH,MIXED,MIXED PANAMA,-72,1.681241237,46
Henicorhina leucosticta,PANAMA,YES,ARTH,MIXED,MIXED PANAMA,-62.85,1.757016235,55
Glyphorynchus spirurus,PANAMA,YES,ARTH,MIXED,MIXED PANAMA,-39,1.908485019,79
Sporophila americana,PANAMA,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT PANAMA,26,2.164352856,144
Saltator maximus,PANAMA,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT PANAMA,245,2.562292864,363
Amazilia tzacatl,PANAMA,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT PANAMA,460,2.763427994,578
Habia fuscicauda,PANAMA,YES,MIXED,MIXED,MIXED PANAMA,487,2.783188691,605
Habia fuscicauda,BELIZE,YES,MIXED,MIXED,MIXED BELIZE,745,2.937016107,863
Terenotriccus ,PANAMA,YES,ARTH,MIXED,MIXED PANAMA,912,3.013679697,1030
Troglodytes aedon,PANAMA,YES,ARTH,MIXED,MIXED PANAMA,1139,3.10002573,1257
Turdus grayi,BELIZE,YES,MIXED,MIXED,MIXED BELIZE,1158,3.106530854,1276
Thraupis episcopus,PANAMA,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT PANAMA,1250,3.136720567,1368
Phaethornis striigularis,PANAMA,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT PANAMA,1463,3.199480915,1581
Turdus grayi,PANAMA,YES,MIXED,MIXED,MIXED PANAMA,1619,3.240299582,1737
Saltator maximus,BELIZE,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT BELIZE,1851,3.294686624,1969
Thalurania columbia,PANAMA,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT PANAMA,1919,3.309417226,2037
Onychorhynchus coronatus,PANAMA,YES,ARTH,MIXED,MIXED PANAMA,1995,3.325310372,2113
Cercomacra tyranina,PANAMA,YES,ARTH,MIXED,MIXED PANAMA,2015,3.329397879,2133
Leptotila cassinii,PANAMA,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT PANAMA,2101,3.346548559,2219
Phaethornis longirostris,PANAMA,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT PANAMA,2139,3.353916231,2257
Henicorhina leucosticta,BELIZE,YES,ARTH,MIXED,MIXED BELIZE,2456,3.410945859,2574
Cyanerpes cyaneus,PANAMA,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT PANAMA,2500,3.418301291,2618
Xenops minutus,PANAMA,YES,ARTH,MIXED,MIXED PANAMA,2631,3.43949059,2749
Pipra mentalis,PANAMA,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT PANAMA,3339,3.538950562,3457
Thamnophilus atrinucha,PANAMA,YES,ARTH,MIXED,MIXED PANAMA,3800,3.593286067,3918
Eucometis penicilota,BELIZE,YES,MIXED,MIXED,MIXED BELIZE,4105,3.625826713,4223
Phaethornis striigularis,BELIZE,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT BELIZE,4213,3.636788689,4331
Coereba flaveola,PANAMA,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT PANAMA,5306,3.734479789,5424
Pipra mentalis,BELIZE,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT BELIZE,5944,3.782759193,6062
Threnetes ruckeri,PANAMA,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT PANAMA,6196,3.800442121,6314
Oryzoborus funereus,PANAMA,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT PANAMA,6307,3.8080083,6425
Leptotila cassinii,BELIZE,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT BELIZE,6676,3.83225337,6794
Amazilia tzacatl,BELIZE,YES,FRUG/NECT,FRUG/NECT,FRUG/NECT BELIZE,6775,3.838534271,6893
Cercomacra tyranina,BELIZE,YES,ARTH,MIXED,MIXED BELIZE,8193,3.919757781,8311