Species,Family,Habitat,Stratum,Diet,Diet2,Mass_un,Mass,DA,Nbel,Npan
Amazilia_tzacatl,Trochilidae,Open/Edge,Canopy,Frug/Nect,Frugivore/Nectivore,4.96,1.601405741,0.0033,10,11
Attila_spadiceus,Tyrannidae,Forest,Canopy,Mixed,Arthropod/Mixed,40.97,3.712840092,0.0099,3,3
Cercomacra_tyranina,Thamnophilidae,Open/Edge,Understory,Arthropod,Arthropod/Mixed,17.17,2.843163675,0.021,10,10
Chlorophanes_spiza,Thraupidae,Forest,Canopy,Frug/Nect,Frugivore/Nectivore,19.83,2.987195943,0.0019,2,2
Claravis_pretiosa,Columbidae,Open/Edge,Understory,Frug/Nect,Frugivore/Nectivore,64.37,4.164647686,0,2,1
Coereba_flaveola,Thraupidae,Open/Edge,Canopy,Frug/Nect,Frugivore/Nectivore,9.34,2.234306252,0.0039,10,10
Columbina_talpacoti,Columbidae,Open/Edge,Understory,Frug/Nect,Frugivore/Nectivore,47.37,3.857989117,0,3,8
Cyanerpes_cyaneus,Thraupidae,Forest,Canopy,Frug/Nect,Frugivore/Nectivore,13.96,2.636196097,0.0002,8,9
Dendrocincla_homochroa,Furnariidae,Forest,Understory,Arthropod,Arthropod/Mixed,36.71,3.603049198,0.0135,3,3
Dendrocolaptes_sanctithomae,Furnariidae,Forest,Understory,Arthropod,Arthropod/Mixed,67.13,4.206631038,0.0019,2,1
Eucometis_penicilota,Thraupidae,Forest,Understory,Mixed,Arthropod/Mixed,28.47,3.348850901,0.0163,10,10
Florisuga_mellivora,Trochilidae,Forest,Canopy,Frug/Nect,Frugivore/Nectivore,7.16,1.968509981,0,3,3
Geotrygon_montana,Columbidae,Forest,Understory,Frug/Nect,Frugivore/Nectivore,138.25,4.92906364,0,1,5
Glyphorynchus_spirurus,Furnariidae,Forest,Understory,Arthropod,Arthropod/Mixed,15.01,2.708716646,0.0107,10,11
Gymnocichla_nudiceps,Thamnophilidae,Open/Edge,Understory,Arthropod,Arthropod/Mixed,31.43,3.447762851,0.0423,3,2
Habia_fuscicauda,Cardinalidae,Open/Edge,Understory,Mixed,Arthropod/Mixed,36.52,3.597860056,0.0329,10,11
Henicorhina_leucosticta,Troglodytidae,Forest,Understory,Arthropod,Arthropod/Mixed,15.39,2.733717948,0.0214,10,11
Hylophilus_decuratus,Vireonidae,Forest,Canopy,Arthropod,Arthropod/Mixed,8.66,2.158714723,0.0239,3,3
Leptotila_cassinii,Columbidae,Open/Edge,Understory,Frug/Nect,Frugivore/Nectivore,153.75,5.035327907,0.0037,10,9
Leptotila_verreauxi,Columbidae,Open/Edge,Understory,Frug/Nect,Frugivore/Nectivore,159.45,5.071730393,0.0271,1,5
Megarhynchus_pitangua,Tyrannidae,Open/Edge,Canopy,Arthropod,Arthropod/Mixed,66.7,4.200204953,0,1,2
Melanerpes_pucherani,Picidae,Forest,Canopy,Arthropod,Arthropod/Mixed,57.02,4.043402083,0.0115,1,4
Microrhopias_quixensis,Thamnophilidae,Forest,Understory,Arthropod,Arthropod/Mixed,8.58,2.149433913,0.0057,2,9
Myiarchus_tuberculifer,Tyrannidae,Forest,Canopy,Mixed,Arthropod/Mixed,17.63,2.869601996,0.0019,3,2
Myiobius_sulphureipygius,Onychorhynchidae,Forest,Understory,Arthropod,Arthropod/Mixed,11.08,2.405141681,0.0099,3,3
Myiopagis_viridicata,Tyrannidae,Forest,Canopy,Arthropod,Arthropod/Mixed,11.79,2.467251715,0.0346,1,1
Myiozetetes_similis,Tyrannidae,Open/Edge,Canopy,Mixed,Arthropod/Mixed,29.8,3.394508394,0.0437,2,7
Notharchus_macrorhynchos,Bucconidae,Forest,Canopy,Arthropod,Arthropod/Mixed,107,4.672828834,0.0048,2,1
Nyctidromus_albicollis,Caprimulgidae,Open/Edge,Understory,Arthropod,Arthropod/Mixed,61.62,4.120986493,0.0272,3,1
Onychorhynchus_coronatus,Onychorhynchidae,Forest,Understory,Arthropod,Arthropod/Mixed,18.85,2.936512914,0.0049,3,10
Sporophila_funerea,Thraupidae,Open/Edge,Understory,Frug/Nect,Frugivore/Nectivore,13.7,2.617395833,0.0039,3,9
Phaethornis_longirostris,Trochilidae,Forest,Understory,Frug/Nect,Frugivore/Nectivore,6.03,1.796747011,0,10,13
Phaethornis_striigularis,Trochilidae,Forest,Understory,Frug/Nect,Frugivore/Nectivore,2.49,0.91228271,0.0019,10,10
Ceratopipra_mentalis,Pipridae,Forest,Understory,Frug/Nect,Frugivore/Nectivore,15.64,2.749831735,0.0015,12,11
Poecilotriccus_sylvia,Tyrannidae,Open/Edge,Understory,Arthropod,Arthropod/Mixed,6.7,1.902107526,0.0058,5,4
Polioptila_plumbea,Polioptilidae,Open/Edge,Canopy,Arthropod,Arthropod/Mixed,6.1,1.808288771,0.0026,1,3
Pteroglossus_torquatus,Ramphastidae,Forest,Canopy,Mixed,Arthropod/Mixed,201.2,5.304299438,0,3,3
Ramphocaenus_melanurus,Polioptilidae,Open/Edge,Understory,Arthropod,Arthropod/Mixed,9.49,2.250238613,0.0056,2,7
Saltator_maximus,Thraupidae,Open/Edge,Canopy,Mixed,Arthropod/Mixed,51.06,3.933001412,0.0032,9,11
Sclerurus_guatemalensis,Furnariidae,Forest,Understory,Arthropod,Arthropod/Mixed,32.38,3.477540948,0.0231,2,5
Sporophila_americana,Thraupidae,Open/Edge,Understory,Frug/Nect,Frugivore/Nectivore,10.85,2.38416508,0.0121,3,11
Stilpnia_larvata,Thraupidae,Open/Edge,Canopy,Frug/Nect,Frugivore/Nectivore,17.62,2.869034621,0,2,5
Taraba_major,Thamnophilidae,Open/Edge,Understory,Arthropod,Arthropod/Mixed,63.85,4.156536582,0.0142,6,2
Terenotriccus_erythrurus,Tyrannidae,Forest,Canopy,Arthropod,Arthropod/Mixed,7.17,1.969905655,0.003,3,9
Thalurania_columbica,Trochilidae,Forest,Understory,Frug/Nect,Frugivore/Nectivore,4.57,1.519513205,0.0097,1,9
Thamnophilus_atrinucha,Thamnophilidae,Open/Edge,Understory,Arthropod,Arthropod/Mixed,23.76,3.168003494,0.001,3,8
Thamnophilus_doliatus,Thamnophilidae,Open/Edge,Understory,Arthropod,Arthropod/Mixed,27.5,3.314186005,0.0241,10,8
Thraupis_episcopus,Thraupidae,Open/Edge,Canopy,Frug/Nect,Frugivore/Nectivore,31.37,3.445852022,0,2,10
Threnetes_ruckeri,Trochilidae,Forest,Understory,Frug/Nect,Frugivore/Nectivore,6.13,1.81319475,0,2,11
Tiaris_olivaceus,Thraupidae,Open/Edge,Understory,Frug/Nect,Frugivore/Nectivore,8.8,2.174751721,0.0058,2,7
Tityra_semifasciata,Tityridae,Forest,Canopy,Frug/Nect,Frugivore/Nectivore,79.77,4.379147494,0,2,3
Todirostrum_cinereum,Tyrannidae,Open/Edge,Canopy,Arthropod,Arthropod/Mixed,6.08,1.805004696,0.0003,2,3
Troglodytes_aedon,Troglodytidae,Open/Edge,Understory,Arthropod,Arthropod/Mixed,11.73,2.462149663,0.0324,1,10
Turdus_grayi,Turdidae,Open/Edge,Understory,Mixed,Arthropod/Mixed,73.77,4.300952145,0.0203,10,10
Volatinia_jacarina,Thraupidae,Open/Edge,Understory,Frug/Nect,Frugivore/Nectivore,8.92,2.188295947,0,3,5
Xenops_minutus,Furnariidae,Forest,Understory,Arthropod,Arthropod/Mixed,11.51,2.443216223,0.0209,10,10